test
test
test
localhost ident user 2016_12_04 GET stuff 300 400
localhost ident user 2016_12_04 GET stuff 300 400
localhost ident user 2016_12_04 GET stuff 300 400
0:0:0:0:0:0:0:1 - - 2016_12_04 GET / HTTP/1.1 200 1234
0:0:0:0:0:0:0:1 - - 2016_12_04 GET / HTTP/1.1 200 1234
0:0:0:0:0:0:0:1 - - 2016_12_04 null 200 1234
0:0:0:0:0:0:0:1 - - [2016_12_04] "GET / HTTP/1.1" 200 1234
0:0:0:0:0:0:0:1 - - [2016_12_04] "null" 200 1234
0:0:0:0:0:0:0:1 - - [2016_12_04] "GET / HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [2016_12_04] "null" 200 0
0:0:0:0:0:0:0:1 - - [04/Dec/2016:20] "GET / HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [04/Dec/2016:20:13:35 -0500] "GET / HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [04/Dec/2016:21:09:25 -0500] "GET /index2.html HTTP/1.1" 200 0
0:0:0:0:0:0:0:1 - - [04/Dec/2016:21:09:38 -0500] "null" 200 0
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:06:42 -0500] "GET /index2.html HTTP/1.1" 404 0
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:06:47 -0500] "GET /index2.html HTTP/1.1" 404 0
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:06:48 -0500] "GET /index.html HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:23:47 -0500] "GET /index.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:23:51 -0500] "GET /index2.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:23:51 -0500] "GET /index2.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:23:51 -0500] "GET /index2.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:23:51 -0500] "GET /index2.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:23:56 -0500] "GET /index2.html HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:26:45 -0500] "GET /index.html HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:27:46 -0500] "GET /index.html HTTP/1.1" 200 102
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:27:55 -0500] "GET /indesx.html HTTP/1.1" 404 0
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:27:55 -0500] "GET /indesx.html HTTP/1.1" 404 0
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:27:55 -0500] "GET /indesx.html HTTP/1.1" 404 0
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:27:55 -0500] "GET /indesx.html HTTP/1.1" 404 0
0:0:0:0:0:0:0:1 - - [04/Dec/2016:22:28:00 -0500] "GET /indesx.html HTTP/1.1" 404 0
